rok	kroliki	lisy	marchewki
1990	30e3	4e3	48300
1991	47.2e3	6.1e3	48200
1992	70.2e3	9.8e3	41500
1993	77.4e3	35.2e3	38200
1994	36.3e3	59.4e3	40600
1995	20.6e3	41.7e3	39800
1996	18.1e3	19e3	38600
1997	21.4e3	13e3	42300
1998	22e3	8.3e3	44500
1999	25.4e3	9.1e3	42100
2000	27.1e3	7.4e3	46000
2001	40.3e3	8e3	46800
2002	57e3	12.3e3	43800
2003	76.6e3	19.5e3	40900
2004	52.3e3	45.7e3	39400
2005	19.5e3	51.1e3	39000
2006	11.2e3	29.7e3	36700
2007	7.6e3	15.8e3	41800
2008	14.6e3	9.7e3	43300
2009	16.2e3	10.1e3	41300
2010	24.7e3	8.6e3	47300
