#created 05-30-2019,start:12:13:38,samples:500,period 1s
sensor 1,sensor 2,sensor 3,sensor 4,sensor 5,sensor 6,sensor 7,sensor 8,sensor 9
1,2,3,4,5,6,7,8,9
1,2,3,4,5,6,7,8,0
1,2,3,4,5,6,7,8,0
0,0,3,0,5,6,7,8,9
1,0,0,0,5,6,7,8,9
1,0,3,0,5,6,7,8,9
1,2,3,0,5,6,7,8,9
1,2,3,0,5,6,7,8,9
1,2,3,0,5,6,7,0,9
0,0,0,0,5,0,0,8,3
1,2,3,0,5,6,7,8,9
1,2,3,0,5,6,7,8,9
1,2,3,4,5,6,7,8,9
1,2,3,4,5,6,7,8,9
1,2,3,4,5,6,7,8,9
1,2,3,0,5,6,7,8,9
7,2,3,0,5,6,7,8,0
1,2,3,0,5,6,7,8,0
1,2,3,0,5,6,7,8,9
1,2,3,0,5,6,7,8,9
1,2,3,0,5,6,7,8,9
1,2,3,0,5,6,7,3,9
1,2,3,0,5,6,7,3,9
1,2,3,0,5,6,7,8,9
0,2,3,0,0,6,7,8,9
0,2,3,0,5,6,7,8,9
0,2,3,0,5,6,7,8,0
1,2,3,4,5,6,7,8,0
1,0,3,4,5,6,7,8,9
1,2,3,4,5,6,7,8,9
1,2,3,4,5,6,7,0,9
1,2,3,4,5,6,7,0,9
1,2,3,0,5,6,7,8,9
1,2,3,0,5,6,7,8,9
1,2,3,0,5,6,7,8,9
1,2,3,0,5,6,7,8,9
1,2,3,0,5,6,7,8,9
1,2,3,0,5,6,7,8,9
1,2,3,0,5,6,7,8,9
1,2,3,0,5,6,7,8,9
1,2,3,0,5,6,7,8,9
1,2,3,0,5,6,7,8,9
1,2,3,0,5,6,7,8,0
0,2,3,0,5,6,7,8,0
1,2,3,0,5,6,7,8,0
1,2,3,0,5,6,7,0,9
1,0,3,4,5,6,7,0,9
1,0,0,4,5,6,7,8,9
1,0,3,4,5,6,7,8,9
1,2,3,4,5,6,7,8,9
1,2,3,4,5,6,7,8,9
1,2,3,4,5,6,7,8,9
1,2,3,4,5,6,7,8,9
1,2,3,4,5,6,7,8,9
1,2,3,4,5,6,7,8,9
1,2,3,4,5,6,7,8,9
1,2,3,4,5,6,7,8,9
1,2,3,4,5,6,7,8,9
1,2,3,4,5,6,7,8,9
1,2,3,0,5,6,7,3,9
1,2,3,0,5,6,7,8,9
1,2,3,0,5,6,7,8,9
1,2,3,4,5,6,7,8,9
1,2,3,4,5,6,7,8,9
1,2,3,4,5,6,7,8,9
1,2,3,4,5,6,7,8,9
1,2,3,4,5,6,7,8,9
1,2,3,4,5,6,7,8,9
0,2,3,4,5,6,7,8,9
1,2,3,4,5,6,7,8,9
1,2,3,4,5,6,7,8,9
1,2,3,4,5,6,7,0,9
1,2,3,4,5,6,7,8,9
1,2,3,4,5,6,7,8,9
1,2,3,4,5,6,7,8,9
1,2,3,4,5,6,7,8,9
1,2,3,4,5,6,7,8,9
1,2,3,4,0,6,7,8,9
1,2,3,4,5,6,7,8,9
1,2,3,4,5,6,7,8,9
1,2,3,4,5,6,7,8,9
1,2,3,0,5,6,7,3,9
1,2,3,0,5,6,7,3,9
1,0,3,0,5,6,7,8,9
1,0,3,0,5,6,7,8,9
1,2,3,0,5,6,7,8,9
1,2,3,0,5,6,7,8,3
1,2,3,0,5,6,7,8,9
1,2,3,0,5,6,7,8,9
1,2,3,0,5,6,7,8,9
1,2,3,0,5,6,7,8,9
1,2,3,0,5,6,7,8,9
1,2,3,4,5,6,7,8,9
1,2,3,4,5,6,7,8,9
1,2,3,4,5,6,7,0,9
1,2,3,4,5,6,7,8,9
1,2,8,4,5,6,7,8,9
1,2,3,4,5,6,7,8,9
0,2,3,4,5,6,7,8,9
1,2,3,4,5,6,7,8,9
1,2,3,4,5,6,7,8,9
1,2,3,4,5,6,7,8,9
1,2,3,4,5,6,7,8,9
1,2,3,4,5,6,7,8,9
1,2,3,4,5,6,7,8,9
1,2,3,4,5,6,7,8,9
1,0,3,4,5,6,1,8,9
1,0,3,4,5,6,7,8,9
1,0,3,4,5,6,7,8,9
1,0,3,4,5,6,7,8,9
1,2,3,4,5,6,7,8,9
1,2,3,4,5,6,7,8,9
1,2,3,4,5,6,7,8,9
1,2,3,0,5,6,7,8,9
1,2,3,0,5,6,7,3,9
1,2,3,0,5,6,7,3,9
0,2,3,4,5,6,7,8,9
0,2,3,4,5,6,7,8,9
1,2,3,4,5,6,7,8,9
1,2,3,0,5,6,7,8,9
1,2,3,0,5,6,7,8,9
1,2,3,4,5,6,7,8,9
1,2,3,4,5,6,7,8,9
1,2,3,4,5,6,7,8,9
1,2,3,4,5,6,7,8,9
1,2,3,4,5,6,7,8,9
1,2,3,4,0,6,7,8,9
1,2,3,4,5,6,7,8,9
1,2,3,4,5,6,7,8,9
1,2,8,4,5,6,7,8,9
1,2,3,4,5,6,7,8,9
1,2,3,4,5,6,7,8,9
1,2,3,4,5,6,7,8,9
1,2,3,4,5,6,7,8,9
1,2,3,4,5,6,7,8,9
1,2,3,4,5,6,7,8,9
1,2,3,4,5,6,7,8,9
1,2,3,4,5,6,7,8,9
1,2,3,4,5,6,7,8,9
1,0,3,4,5,6,7,8,9
1,2,3,4,5,6,7,8,9
1,2,3,4,5,6,7,0,9
1,2,3,4,5,6,7,8,9
1,2,3,4,5,6,7,8,9
1,2,3,4,5,6,7,8,9
0,2,3,4,5,6,7,8,9
1,2,3,4,5,6,7,8,9
1,2,3,4,5,6,7,8,9
1,0,3,4,5,6,7,8,9
1,0,3,4,5,6,1,8,9
1,0,3,4,5,6,7,8,3
1,0,3,4,5,6,7,8,9
1,2,3,4,5,6,7,8,9
1,2,3,4,5,6,7,8,9
1,2,3,4,7,6,7,0,9
1,2,3,4,5,6,7,0,9
1,2,3,4,5,6,7,8,9
1,2,3,4,5,6,7,8,9
1,2,3,4,5,6,7,8,9
1,2,3,4,5,6,7,8,9
1,2,3,4,5,6,7,8,9
1,2,3,4,5,6,7,8,9
1,2,3,4,5,6,7,8,9
1,2,3,4,5,6,7,8,9
1,2,3,4,5,6,0,8,9
0,2,0,4,5,6,7,8,9
1,2,3,4,5,6,7,8,9
1,2,3,4,5,6,7,8,9
1,2,3,4,5,6,7,8,9
0,2,3,4,5,6,7,8,9
0,2,3,4,5,6,7,8,9
1,2,3,4,5,6,7,8,9
1,2,3,4,5,6,7,0,9
1,2,3,4,5,6,7,0,9
1,2,3,4,5,6,7,0,9
1,2,3,4,5,6,7,8,9
1,2,3,4,5,6,7,8,9
1,0,3,4,5,6,7,8,9
1,0,3,4,5,6,7,8,9
1,2,3,4,5,6,7,8,9
1,2,3,4,5,6,7,8,9
1,2,3,4,5,6,7,8,9
1,2,3,4,5,6,7,8,9
1,2,3,4,5,6,7,8,9
1,2,3,4,5,6,7,8,9
1,2,3,4,5,6,7,8,9
1,2,3,4,5,6,7,8,9
1,2,3,0,5,6,7,8,9
1,2,3,0,5,6,7,8,9
1,2,3,0,5,6,1,8,9
1,2,3,0,5,,6,7,8,9
1,2,3,0,5,6,7,8,9
1,2,3,0,5,6,7,8,9
1,2,3,0,5,6,7,8,9
1,2,3,0,5,6,7,8,9
0,2,3,0,5,6,7,8,9
0,2,3,0,5,6,7,3,9
0,2,3,0,7,6,7,8,9
1,2,3,0,5,6,7,8,9
1,2,3,0,5,6,7,8,0
1,2,3,0,5,6,7,8,9
1,2,3,0,5,6,0,8,9
1,0,3,0,5,6,7,8,9
1,0,3,0,5,6,7,8,9
1,2,3,0,5,6,7,8,9
1,2,3,0,5,6,7,8,9
1,2,3,0,5,12,7,8,9
1,2,3,0,5,6,7,8,9
1,2,3,0,5,6,7,8,9
1,2,3,0,5,6,7,4,9
1,2,3,0,5,6,7,8,9
1,2,3,0,5,6,7,8,9
1,2,3,0,5,6,7,8,9
1,2,3,0,5,6,7,8,9
1,2,3,0,5,6,7,8,9
1,2,3,0,5,6,7,8,9
1,2,3,0,5,6,7,8,9
1,2,3,4,5,6,0,8,9
1,2,3,4,5,6,7,8,9
1,0,3,4,5,6,7,8,9
1,0,3,4,5,6,7,8,9
1,0,3,4,5,6,7,8,9
1,0,3,4,5,6,7,8,9
1,0,3,4,5,6,7,8,9
1,2,3,4,5,6,7,8,9
1,2,3,4,5,6,7,8,9
0,2,3,4,5,6,7,8,9
1,2,3,4,5,6,7,8,9
1,2,3,4,5,6,7,8,9
1,2,3,4,5,6,7,8,3
